latitud,longitud,pais
35.000074,104.999927,China
39.7837304,-100.445882,United States
52.2434979,5.6343227,Netherlands
36.5748441,139.2394179,Japan
54.7023545,-3.2765753,United Kingdom
51.1638175,10.4478313,Germany
64.6863136,97.7453061,Russia
36.638392,127.6961188,South Korea
46.603354,1.8883335,France
22.350627,114.1849161,Hong Kong
-10.3333333,-53.2,Brazil
46.7985624,8.2319736,Switzerland
42.6384261,12.674297,Italy
39.3260685,-4.8379791,Spain
-24.7761086,134.755,Australia
64.5731537,11.52803643954819,Norway
61.0666922,-107.991707,Canada
50.6402809,4.6667145,Belgium
25.6242618,42.3528328,Saudi Arabia
19.4326296,-99.1331785,Mexico
59.6749712,14.5208584,Sweden
4.099917,-72.9088133,Colombia
22.3511148,78.6677428,India
23.5983227,120.83537694479215,Taiwan
55.670249,10.3333283,Denmark
14.8971921,100.83273,Thailand
-28.8166236,24.991639,South Africa
1.357107,103.8194992,Singapore
30.8124247,34.8594762,Israel
52.865196,-7.9794599,Ireland
47.59397,14.12456,Austria
4.5693754,102.2656823,Malaysia
39.6621648,-8.1353519,Portugal
38.9597594,34.9249653,Turkey
25.3336984,51.2295295,Qatar
63.2467777,25.9209164,Finland
24.0002488,53.9994829,United Arab Emirates
-2.4833826,117.8902853,Indonesia
49.7439047,15.3381061,Czech Republic
49.6112768,6.129799,Luxembourg
38.9953683,21.9877132,Greece
-31.7613365,-71.3187697,Chile
52.215933,19.134422,Poland
32.3040273,-64.7563086,Bermuda
29.3796532,47.9734174,Kuwait
8.0018709,-66.1109318,Venezuela
12.7503486,122.7312101,Philippines
-6.8699697,-75.0458515,Peru
9.6000359,7.9999721,Nigeria
28.3347722,-10.371337908392647,Morocco
10.6611675,122.5909592,Jordan
47.1817585,19.5060937,Hungary
-20.2759451,57.5703566,Mauritius
30.3308401,71.247499,Pakistan
18.2247706,-66.4858295,Puerto Rico
48.1012954,66.7780818,Kazakhstan
26.1551249,50.5344606,Bahrain
21.0000287,57.0036901,Oman
40.375713,-76.4626118,Lebanon
15.9266657,107.9650855,Vietnam
26.2540493,29.2675469,Egypt
19.703182249999998,-79.9174627243246,Cayman Islands
8.7800265,1.0199765,Togo
